word_1,word_0
"longa,length,longitude","long,longly, ,longness, ,Crawford Williamson ,Huey Pierce ,Russell B(illiu) "
,kind
English,"side,sideless, "
,"business,antibusiness, ,interbusiness, ,multibusiness, ,nonbusiness, ,overbusiness, ,probusiness, "
befriend,"friend,friendless, ,friendlessness, ,nonfriend, ,friendless, ,friendlessness, ,friendship, "
conscript fathers,"father,fatherlike, ,fathering, "
,sit
,"power,counterpower, ,de-power, ,repower, "
,"hour,hourless, "
,"game,gameless, ,gamelike, ,gameness, ,ungamelike, ,gamelike, "
politics,"political,politically, ,antipolitical, ,antipolitically, ,nonpolitical, ,nonpolitically, ,overpolitical, ,overpolitically, ,prepolitical, ,prepolitically, ,pseudopolitical, ,quasi-political, ,quasi-politically, ,subpolitical, ,subpolitically, ,unpolitical, ,unpolitically, ,politically, "
"station,witness stand,grandstand,newsstand,hive,pat,reason","stand,stander, "
"bid,fair,bide","bad,badness, ,bidder, ,baddish, ,badness, ,bidder, "
"loss,loss,face","lose,relose, ,relost, ,relosing.,losable, ,losableness, "
membership,"member,memberless, ,submember, ,memberless, "
"payment,payment,payment",pay
"Law of Moses,low,low","law,lawlike, ,Andrew Bonar "
"intersection,cute","meet,meeter, ,meetness, ,meeter, ,meetly, "
"streetcar,left-handed,sinister","car,carless, "
,"city,cityless, ,citylike, ,intercity, ,minicity, ,minicities.,outcity, ,outcities.,procity, ,subcity, ,subcities."
,"include,includable, ,includible, ,preinclude, ,preincluded, ,preincluding.,reinclude, ,reincluded, ,reincluding.,unincludable, ,unincludible, ,includable, ,includible, "
continuation,"continue,continuable, ,continuer, ,continuingly, ,noncontinuable, ,noncontinuably, ,continuable, ,continuer, ,continuingly, "
"nail set,sett,face,store","set,interset, ,interset, ,intersetting.,misset, ,misset, ,missetting."
"preside,presides","president,presidentially, ,presidentship, "
ultraconservative,"white,unwhite, ,Edward H(iggins), II ,E(lwyn) B(rooks) ,Patrick (Victor Martindale) ,T(erence) H(anbury) ,William A(lanson) ,whitely, ,whiteness, ,whitish, "
,"community,communital, ,procommunity, "
,"learn,learnable, ,mislearn, ,mislearned ,mislearnt, ,mislearning.,outlearn, ,outlearned ,outlearnt, ,outlearning.,relearn, ,relearned ,relearnt, ,relearning.,learnable, "
"virtual,real number,reis","real,realness, ,realness, "
"exchange,changefulness,hand","change,changedness ,unchanged, ,unchanging, ,unchangingly, ,unchangingness, ,changeless, ,changelessly, ,changelessness, ,changer, "
,"team,interteam, ,underteamed, ,unteamed, "
,"idea,idealess, ,preidea, ,subidea, ,idealess, "
,"minute,unminuted, ,minuteness, ,minuteness, "
"bodily,bodily",body
"kidskin,Kyd, Thomas","kid,kiddish, ,kiddishness, ,kidlike, ,kidder, ,kiddingly, ,kiddishness, ,kidlike, ,kiddingly, "
"way,black lead,white lead","lead,leadless, ,leadless, ,leady, "
socialism,"social,socially, ,socialness, ,hypersocial, ,hypersocially, ,intersocial, ,nonsocial, ,nonsocially, ,nonsocialness, ,oversocial, ,oversocially, ,presocial, ,pseudosocial, ,pseudosocially, ,unsocial, ,unsocially, ,socially, ,socialness, "
,"understand,preunderstand, ,preunderstood, ,preunderstanding.,understandable, ,understandably, "
,"watch,unwatched, ,unwatching, "
"follow shot,follow-up,suit","follow,followable, ,unfollowable, ,unfollowed, ,well-followed, ,followable, "
,"parent,parentless, ,parentlike, ,nonparent, ,parenthood, "
"back,faceplate,facing,music,fly","face,faceable, ,subface, ,underface, ,underface, ,underfaced, ,underfacing.,unfaceable, ,faceable, "
creative,"create,creatable, ,intercreate, ,intercreated, ,intercreating.,self-created, ,self-creating, ,uncreatable, ,uncreated, ,creatable, "
public house,"public,nonpublic, ,quasi-public, ,quasi-publicly, ,unpublic, ,unpublicly, "
,"speak,speakable, ,speakableness, ,speakably, ,speakable, "
"line,green,Riot Act",read
,"level,levelly, ,levelness, ,antileveling, ,antilevelling, ,interlevel, ,nonlevel, ,relevel, ,releveled, ,releveling ,relevelled, ,relevelling.,self-leveling, ,self-levelling, ,underlevel, ,unlevel, ,unlevelly, ,unlevelness, ,unleveled, ,unlevelled, ,well-leveled, ,well-levelled, ,levelly, ,levelness, "
"addition,addition,attention deficit disorder","add,addable, ,addible, ,addedly, ,misadd, ,readd, ,unaddable, ,unadded, ,unaddible, "
privy,"office,officeless, ,outoffice, ,suboffice, "
,"spend,antispending, ,underspend, ,underspent, ,underspending.,unspending, ,spendable, "
doorway,"door,doorless, "
,"health,healthward, ,subhealth, "
"personality,third person,first person,person","person,multiperson, ,superperson, "
"fine arts,fine arts,the humanities,term of art,be,Arthur,-ard,artificial,artillery,artist,Monck, George","art,Thelonious "
"worse,warrant",war
historical,"history,underhistory, ,underhistories.,unhistory, ,unhistories."
,"party,partyless, ,interparty, ,nonparty, ,nonparties.,subparty, ,subparties."
"growth,growth,pair","grow,growable, ,regrow, ,regrew, ,regrown, ,regrowing.,Galusha Aaron "
,result
closed,"open,openly, ,openness, ,half-opened, ,preopen, ,self-opened, ,semiopen, ,semiopenly, ,semiopenness, ,unopened, ,openable, ,openly, ,openness, "
"exchange,changefulness,hand","change,changedness ,unchanged, ,unchanging, ,unchangingly, ,unchangingness, ,changeless, ,changelessly, ,changelessness, ,changer, "
,"morning,premorning, "
"walking,base on balls,walking,walking,base on balls,race walking,plank","walk,unwalked, ,walkable, "
,"reason,reasoner, ,nonreason, ,nonreasoner, ,outreason, ,subreason, ,reasoner, "
,girl
"Guy Fawkes,Guy Fawkes Day",guy
,"win,winnable, ,winnable, "
,"food,foodless, ,foodlessness, ,nonfood, ,foodless, "
,moment
"breath,open air,air pressure,aircraft,aerial,early","air,airlike, ,unaired, "
,"early,earliness, ,Jubal Anderson ,earliness, "
teaches,"teacher,teacherless, ,teachership, ,nonteacher, ,self-teacher, ,underteacher, ,teacherless, "
force play,"force,forceable, ,forceless, ,forcer, ,forcingly, ,interforce, ,overforce, ,overforce, ,overforced, ,overforcing.,unforceable, ,unforcing, ,forceable, ,forceless, ,forcer, ,forcingly, "
,"offer,offerable, ,offerer, ,offeror, ,nonoffer, ,preoffer, ,reoffer, ,self-offered, ,unoffered, ,offerer, ,offeror, "
,"education,antieducation, ,noneducation, ,overeducation, ,preeducation, ,proeducation, ,supereducation, "
grave,"foot,footless, "
,"remember,rememberable, ,rememberer, ,unremembered, ,unremembering, ,well-remembered, ,rememberer, "
,boy
,"age,interage, ,preage, ,preaged, ,preaging.,subage, ,unaging, "
numbers pool,policy
"love affair,lover","love,outlove, ,outloved, ,outloving.,overlove, ,overloved, ,overloving."
"conk,conk,conked,process cinematography","process,processual ,overprocess, ,preprocess, ,reprocess, ,semiprocessed, ,transprocess, ,unprocessed, "
,"include,includable, ,includible, ,preinclude, ,preincluded, ,preincluding.,reinclude, ,reincluded, ,reincluding.,unincludable, ,unincludible, ,includable, ,includible, "
"musical,musical,musical","music,musicless, ,antimusic, ,undermusic, "
"humane,human being","human,humanlike, ,humanness, ,half-human, ,interhuman, ,overhuman, ,pseudohuman, ,quasi-human, ,quasi-humanly, ,transhuman, ,ultrahuman, ,unhuman, ,unhumanly, ,unhumanness, ,human-like, ,humanness, "
,"buy,buyable, ,nonbuying, ,prebuy, ,prebought, ,prebuying.,rebuy, ,rebought, ,rebuying.,unbuyable, ,unbuying, "
"await,await,table",wait
"marketplace,stock market","market,marketer, ,multimarket, ,nonmarket, ,premarket, ,remarket, ,submarket, ,undermarket, ,unmarketed, ,well-marketed, ,marketer, "
"servant,service,server","serve,servable, ,serveable, ,overserve, ,underserved, ,unservable, ,unserved, ,servable, ,serveable, "
"dice,dado,poker dice","die,dicer, ,dicer, "
"sensation,sensible,nonsense","sense,unsensed, ,unsensing, "
,"expect,expectable, ,expectably, ,expectedly, ,expectedness, ,expecter, ,expectingly, ,overexpect, ,preexpect, ,unexpectable, ,unexpectably, ,unexpecting, ,unexpectingly, ,expectable, ,expectably, "
,"build,buildable, ,misbuild, ,misbuilt, ,misbuilding.,outbuild, ,outbuilt, ,outbuilding.,prebuild, ,prebuilt, ,prebuilding.,superbuild, ,superbuilt, ,superbuilding.,unbuildable, ,underbuild, ,underbuilt, ,underbuilding."
scend,"send,sendable, ,sendable, ,sender, "
staying power,stay
"falling band,short,foul,land","fall,unfalling, "
,"nation,nationhood, ,nationless, ,internation, ,minination, ,supernation, ,nationhood, ,nationless, "
plano-,"plan,planless, ,planlessly, ,planlessness, ,misplan, ,misplanned, ,misplanning.,outplan, ,outplanned, ,outplanning.,overplan, ,overplanned, ,overplanning.,preplan, ,preplanned, ,preplanning.,replan, ,replanned, ,replanning.,underplan, ,underplan, ,underplanned, ,underplanning.,unplan, ,unplanned, ,unplanning."
"drunk,ice","cut,miscut, ,miscut, ,miscutting.,outcut, ,outcut, ,outcutting.,recut, ,recut, ,recutting."
,"college,postcollege, ,precollege, ,subcollege, "
,"interest,overinterest, ,preinterest, ,reinterest, "
dying,"death,predeath, "
,"experience,experienceable, ,experienceless, ,postexperience, ,preexperience, ,preexperienced, ,preexperiencing.,reexperience, ,reexperienced, ,reexperiencing.,experienceable, "
,"reach,reachable, ,reachability, ,reacher, ,unreachable, ,unreached, ,reachable, ,reacher, "
kill shot,"kill,killable, ,unkilled, "
"stamp,low-cal","local,localness, ,interlocal, ,interlocally, ,nonlocal, ,nonlocally, ,superlocal, ,superlocally, ,unlocal, ,unlocally, ,localness, "
,"remain,unremaining, "
yes,yeah
"control variable,controller","control,controllable, ,controllability, ,controllableness, ,controllably, ,controlless, ,controllingly, ,noncontrollable, ,noncontrollably, ,noncontrolled, ,noncontrolling, ,overcontrol, ,overcontrolled, ,overcontrolling, ,precontrol, ,precontrolled, ,precontrolling.,quasi-controlled, ,quasi-controlling, ,subcontrol, ,subcontrolled, ,subcontrolling.,supercontrol, ,uncontrolled, ,uncontrolling, ,well-controlled, ,controllable, ,controllability, ,controllableness, ,controllably, "
"classroom,form class,classis,classify,classic,classical,classification,classified","class,classable, ,classer, ,misclass, ,reclass, ,unclassable, ,unclassed, ,classable, ,classer, "
,"care,carer, ,noncaring, ,overcare, ,uncaring, "
,"late,lateness, ,overlate, ,overlateness, ,lateness, "
"hard labor,hearing-impaired","hard,overhard, ,overhardness, ,semihard, ,semihardness, "
"field-test,left field","field,misfield, ,unfielded, "
Cain,"raise,raisable, ,raiseable, ,raiser, ,nonraisable, ,nonraiseable, ,reraise, ,reraised, ,reraising.,unraisable, ,unraiseable, ,raisable, ,raiseable, ,raiser, "
"passing shot,reference book,base on balls,muster,passenger,passim,passive","pass,passless, ,outpass, ,subpass, "
,"require,requirable, ,requirer, ,nonrequirable, ,prerequire, ,prerequired, ,prerequiring.,quasi-required, ,unrequired, ,requirable, ,requirer, "
"sale,short,bill of goods,self","sell,sellable, ,sellable, "
minor,"major,majorship, "
"developing,developed,developer","development,developmental, ,developmentary, ,developmentally, ,antidevelopment, ,hyperdevelopment, ,hyperdevelopmental, ,nondevelopment, ,nondevelopmental, ,nondevelopmentally, ,postdevelopmental, ,predevelopment, ,self-development, ,subdevelopment, ,superdevelopment, ,undevelopment, ,undevelopmental, ,undevelopmentally, ,developmental, ,developmentally, "
reporter,"report,reportable, ,nonreportable, ,nonreported, ,overreport, ,prereport, ,quasi-reported, ,subreport, ,unreportable, ,unreported, ,well-reported, ,reportable, "
,"role,multirole, "
decision,"decide,decider, ,predecide, ,predecided, ,predeciding.,redecide, ,redecided, ,redeciding."
"economics,economy,economy,economical","economic,antieconomic, ,noneconomic, ,preeconomic, ,quasi-economic, ,subeconomic, ,uneconomic, "
,"effort,countereffort, ,overeffort, ,preeffort, ,effortful, "
,"rate,rater, "
,"strong,strongish, ,strongly, ,strongness, ,overstrong, ,overstrongly, ,overstrongness, ,superstrong, ,strongish, ,strongly, ,strongness, "
,heart
drag,"drug,druggy, "
lead,"leader,leaderless, ,subleader, ,leaderless, "
,"light,lightful, ,lightfully, ,lightish, ,lightless, ,lightish, ,lightly, ,lightness, "
"wive,wife","wife,wifedom, ,wifeless, ,wifelessness, ,wifehood, ,wifeless, ,wifelike, ,wifeliness, ,wifely, "
,"police,overpolice, ,overpoliced, ,overpolicing.,prepolice, ,self-policing, ,unpoliced, ,well-policed, "
"final,final",finally
,"voice,voicer, ,outvoice, ,outvoiced, ,outvoicing.,undervoice, ,voicer, "
"free enterprise,checked","free,freeness, ,overfree, ,overfreely, ,quasi-free, ,quasi-freely, ,unfree, ,unfreed, ,unfreeing, ,unfreely, ,freer, ,freely, ,freeness, "
odds,"price,priceable, ,preprice, ,prepriced, ,prepricing; ,reprice, ,repriced, ,repricing.,(Mary) Leontyne ,pricer, "
"leg,plug","pull,pullable, ,puller, ,puller, "
"return ticket,carriage return","return,nonreturn, ,prereturn, ,unreturned, ,unreturning, "
,"military,militarily ,militariness, ,antimilitary, ,nonmilitary, ,premilitary, ,promilitary, ,pseudomilitarily, ,pseudomilitary, ,quasi-military, ,supermilitary, ,unmilitarily, ,unmilitary, ,militarily, "
,"mind,submind, ,unminding, "
reporter,"report,reportable, ,nonreportable, ,nonreported, ,overreport, ,prereport, ,quasi-reported, ,subreport, ,unreportable, ,unreported, ,well-reported, ,reportable, "
"deciding,decided","decision,decisional, ,nondecision, ,predecision, ,redecision, ,subdecision, ,decisional, "
explanation,"explain,explainable, ,explainer, ,explanator ,misexplained, ,nonexplainable, ,overexplain, ,preexplain, ,reexplain, ,unexplainable, ,unexplainably, ,unexplained, ,unexplaining, ,well-explained, ,explainable, ,explainer, "
"sonship,soni-","son,sonless, ,sonlike, ,sonless, ,sonlike, "
Sir Anthony Hope Hawkins,"hope,hoper, ,hopingly, ,unhoping, ,unhopingly, ,hoper, "
,"develop,developable, ,developability, ,half-developed, ,hyperdeveloped, ,misdevelop, ,nondevelopable, ,predevelop, ,undevelopable, ,well-developed, ,developable, "
,"view,multiview, ,unviewed, ,viewable, "
,"relationship,prerelationship, "
"can,Carew,Caroline","carry,carriable, ,carryable, ,half-carried, ,recarry, ,recarried, ,recarrying.,uncarried, ,undercarry, ,undercarried, ,undercarrying."
paint,"town,townless, ,intertown, ,Ithiel ,townish, ,townless, "
railroad,"road,roadless, ,roadlessness, ,interroad, ,roadless, "
"driving iron,excitation","drive,drivable, ,driveable, ,nondrivable, ,nondriveable, ,predrive, ,predrove, ,predriven, ,predriving.,redrive, ,redrove, ,redriven, ,redriving.,undrivable, ,drivable, ,driveable, ,drivability, ,driveability, "
"tone arm,armrest,firearms,coat of arms,Armenian,Armenian,Armorican","arm,armlike, ,armless, ,armless, ,armlike, "
"purebred,true north,truthful,truth,truly","true,trueness, ,trueness, "
,"federal,federally, ,federalness, ,nonfederal, ,quasi-federal, ,quasi-federally, ,federally, "
"break dance,break dancing,step","break,breakable, ,breakableness, ,breakably, ,breakless, ,nonbreakable, ,rebreak, ,rebroke, ,rebroken, ,rebreaking.,unbreakable, ,unbreakableness, ,unbreakably, "
different,difference
,"receive,interreceive, ,interreceived, ,interreceiving.,nonreceiving, ,prereceive, ,prereceived, ,prereceiving.,unreceiving, "
national,"international,internationality, ,internationally, ,noninternational, ,noninternationally, ,pseudointernational, ,quasi-international, ,quasi-internationally, ,uninternational, ,internationality, ,internationally, "
built,"building,buildingless, ,underbuilding, ,buildable, ,misbuild, ,misbuilt, ,misbuilding.,outbuild, ,outbuilt, ,outbuilding.,prebuild, ,prebuilt, ,prebuilding.,superbuild, ,superbuilt, ,superbuilding.,unbuildable, ,underbuild, ,underbuilt, ,underbuilding."
,"action,actionless, ,nonaction, ,preaction, ,proaction, "
fully,"full,fullness, ,fullness, ,fulness, "
,"model,modeler; ,modeller, ,premodel, ,premodeled, ,premodeling ,premodelled, ,premodelling.,unmodeled, ,unmodelled, ,modeller, ,modeler, "
,"season,seasonedly, ,seasoner, ,seasonless, ,nonseasoned, ,overseason, ,postseason, ,preseason, ,reseason, ,well-seasoned, ,seasoned, ,seasoner, ,seasonless, "
"union,junction,union","join,joinable, ,misjoin, ,underjoin, ,unjoin, ,unjoinable, ,joinable, "
ecclesiastical society,"society,societyless, ,intersociety, ,nonsociety, ,nonsocieties.,subsociety, ,subsocieties.,undersociety, ,undersocieties."
taxo-,"tax,taxer, ,taxingly, ,taxless, ,taxlessly, ,taxlessness, ,antitax, ,nontax, ,nontaxer, ,protax, ,retax, ,subtaxer, ,undertaxed, ,untax, ,taxer, ,taxless, "
directs,"director,directorship, ,predirector, ,self-director, ,subdirector, ,subdirectorship, ,directorial, ,directorially, ,directorship, ,directress, "
,"early,earliness, ,Jubal Anderson ,earliness, "
,"position,positional, ,positionless, ,misposition, ,well-positioned, ,positional, "
"plays,plays,player piano,played","player,counterplayer, ,nonplayer, ,self-player, ,superplayer, "
agreement,"agree,agreeingly, ,interagree, ,interagreed, ,interagreeing.,preagree, ,preagreed, ,preagreeing."
"wallpaper,toilet paper,wallpaper","paper,paperless, ,paperlike, ,repaper, ,unpapered, ,paperer, "
substance,"form,formable, ,formably, ,misform, ,misformed, ,nonform, ,nonforming, ,overformed, ,semiformed, ,subform, ,underform, ,formable, "
support level,"support,supportingly, ,nonsupporting, ,presupport, ,prosupport, ,quasi-supported, ,undersupport, ,unsupported, ,unsupportedly, ,unsupporting, ,well-supported, ,supportless, "
,"special,specially, ,interspecial, ,nonspecial, ,nonspecially, ,superspecial, ,specially, ,specialness, "
recording,"record,recordable, ,recordless, ,unrecordable, ,well-recorded, ,recordable, "
,"wear,wearer, ,rewear, ,rewore, ,reworn, ,rewearing.,wearer, "
"outer space,deep space,outer space,deep space,outer space,deep space","space,spacer, ,misspace, ,misspaced, ,misspacing.,respace, ,respaced, ,respacing."
"brain,picking,plectrum,filling","pick,pickable, ,unpickable, ,pickable, "
"ground bass,grind","ground,groundable, ,groundably, ,groundedly, ,groundedness, ,groundward, ,groundwards, ,ungroundable, ,grindable, ,grindability, ,grindingly, ,regrind, ,reground, ,regrinding.,ungrindable, ,grindingly, "
"office,office,office","official,officially, ,nonofficial, ,nonofficially, ,preofficial, ,preofficially, ,pseudoofficial, ,pseudoofficially, ,quasi-official, ,quasi-officially, ,subofficial, ,subofficially, ,underofficial, ,unofficial, ,unofficially, "
"matte,matte shot","matter,matterful, ,matterless, ,nonmatter, "
"shopping center,center field,central,snap","center,centerable, ,centerless, ,supercenter, "
,"couple,coupleable, ,intercouple, ,well-coupled, "
,"event,eventless, ,superevent, "
website,"site,intersite, ,resite, ,resited, ,resiting."
housing project,"project,projectable, ,projectingly, ,counterproject, ,nonprojecting, ,reproject, ,subproject, ,unprojected, ,unprojecting, "
"base hit,bottle","hit,hitless, ,hittable, ,hitter, ,nonhit, ,outhit, ,outhit, ,outhitting.,self-hitting, ,unhit, ,unhittable, "
"triangulation,pavilion,first base,bass","base,unbased, ,basely, ,baseness, ,basely, ,baseness, "
,"activity,nonactivity, ,nonactivities.,preactivity, ,preactivities.,superactivity, ,superactivities."
battle star,"star,starless, ,starless, ,starlike, "
,"table,tableless, ,untabled, ,tableful, ,tableless, "
,"court,outcourt, ,uncourted, ,uncourting, ,well-courted, "
"products,product,products","produce,producible, ,produceable, ,productible, ,producibility, ,productibility ,producibleness, ,produceableness, ,interproduce, ,interproduced, ,interproducing.,misproduce, ,misproduced, ,misproducing.,nonproducible, ,nonproducing, ,outproduce, ,outproduced, ,outproducing.,superproduce, ,superproduced, ,superproducing.,superproduce, ,unproduced, ,unproducible, ,producible, ,producibility, "
"food,food,crow,hog,humble pie,heart,term,word,hand","eat,eater, ,outeat, ,outate, ,outeaten, ,outeating.,undereat, ,underate, ,undereaten, ,undereating.,eater, "
teacher,"teach,overteach, ,overtaught, ,overteaching.,preteach, ,pretaught, ,preteaching.,reteach, ,retaught, ,reteaching.,underteach, ,undertaught, ,underteaching.,teachable, "
situated,"situation,situational, ,situationally, ,situational, "
,"oil,oilless, ,oillessness, ,oillike, ,reoil, ,self-oiling, ,unoiling, ,oil-like, "
,"easy,easylike, ,overeasy, "
costo-,"cost,costless, ,costlessness, ,recost, ,recost, ,recosting.,costless, "
,"industry,interindustry, ,mini-industry, ,mini-industries.,nonindustry, ,preindustry, ,proindustry, ,subindustry, ,subindustries.,superindustry, ,superindustries."
"figure of speech,cut","figure,figurable, ,figureless, ,figurer, ,outfigure, ,outfigured, ,outfiguring.,refigure, ,refigured, ,refiguring.,subfigure, ,unfigurable, ,figureless, ,figurer, "
"back,faceplate,facing,music,fly","face,faceable, ,subface, ,underface, ,underface, ,underfaced, ,underfacing.,unfaceable, ,faceable, "
imagine,"image,imageable, ,imager, ,preimage, ,reimage, ,reimaged, ,reimaging.,unimaged, ,imageable, ,imageless, "
alley,"street,streetless, ,streetlike, ,interstreet, "
telephone,"phone,phonal, "
"United States of America,South America,South America,United States of America,South America,American English","American,Americanly, ,Americanness, "
datum,"predata, ,datum"
"covering,cover charge,cover version","cover,coverable, ,coverer, ,coverless, ,half-covered, ,precover, ,well-covered, ,coverable, ,coverer, ,coverless, "
"motion picture,movies,depict","picture,picturable, ,picturableness, ,picturably, ,picturer, ,mispicture, ,mispictured, ,mispicturing.,self-pictured, ,unpictured, "
"illustrious,clearance,plaintext","clear,clearable, ,clearness, ,half-clearly, ,preclear, ,unclear, ,unclearly, ,unclearable, ,uncleared, ,clearable, ,clearer, ,clearness, "
