control variable controller control controllable controllability controllableness controllably controlless controllingly noncontrollable noncontrollably noncontrolled noncontrolling overcontrol overcontrolled overcontrolling precontrol precontrolled precontrolling quasi-controlled quasi-controlling subcontrol subcontrolled subcontrolling supercontrol uncontrolled uncontrolling well-controlled controllable controllability controllableness controllably 				
realize realizable realizability realizableness realizably realizer hyperrealize hyperrealized hyperrealizing nonrealizable nonrealizing prerealize prerealized prerealizing underrealize underrealized underrealizing unrealize unrealized unrealizing realizable realisable realizably realisably realization realisation realizer realiser 				
religion religion religion religious religiously religiousness antireligious antireligiously nonreligious nonreligiously nonreligiousness overreligious overreligiously prereligious pseudoreligious pseudoreligiously quasi-religious quasi-religiously ultrareligious ultrareligiously ultrareligiousness religiously religiousness 				
measurement measurement measurement measurement measurements measurement measure measurer intermeasure intermeasured intermeasuring mismeasure mismeasured mismeasuring outmeasure outmeasured outmeasuring premeasure premeasured premeasuring remeasure remeasured remeasuring undermeasure undermeasured undermeasuring measurer 				
measurement measurement measurement measurement measurements measurement measure measurer intermeasure intermeasured intermeasuring mismeasure mismeasured mismeasuring outmeasure outmeasured outmeasuring premeasure premeasured premeasuring remeasure remeasured remeasuring undermeasure undermeasured undermeasuring measurer 				
recognize recognizable recognizability recognizably recognizer nonrecognized prerecognize prerecognized prerecognizing quasi-recognized unrecognizable unrecognizably unrecognized unrecognizing well-recognized recognizable recognisable recognizability recognisability recognizably recognisably recognizer recogniser 				
judgment judgment judgment adjudicate judgment judgment judgment judge judgeable judger judgeless judgelike judgeship judgingly rejudge rejudged rejudging subjudge subjudgeship underjudge underjudged underjudging underjudge unjudgeable unjudged unjudgelike unjudging judgeable judgeless judgelike judger judgingly 				
tradition tradition tradition traditionary traditional traditionality traditionally antitraditional antitraditionally nontraditional nontraditionally nontraditionary pretraditional protraditional quasi-traditional quasi-traditionally semitraditional semitraditionally untraditional untraditionally traditionally 				
definition define definable definability definably definement definer misdefine misdefined misdefining nondefinability nondefinable nondefinably nondefined nondefiner predefine predefined predefining redefine redefined redefining self-defined semidefined undefinable definable definability definably definer 				
responsibility responsible responsibleness responsibly interresponsible nonresponsible nonresponsibleness nonresponsibly preresponsible quasi-responsible quasi-responsibly superresponsible superresponsibleness superresponsibly unresponsible unresponsibleness unresponsibly responsibleness responsibly 				
describe describable describability describably describer nondescribable overdescribe overdescribed overdescribing predescribe predescribed predescribing redescribe redescribed redescribing self-described undescribable undescribableness undescribably undescribed well-described describable describer 				
prove provable provability provableness provably provenly prover half-proven nonprovable overprove overproved overproved overproven overproving preprove preproved preproved preproven preproving self-proving semiproven unprovable unproved unproven unproving well-proven provable provability provably 				
artificial Afro blackjack Afro natural naturalness antinatural antinaturally antinaturalness hypernatural hypernaturally hypernaturalness nonnatural nonnaturally nonnaturalness prenatural quasi-natural quasi-naturally subnatural subnaturally subnaturalness transnatural transnaturally naturalness 				
administrator administrator administrators administrator administrators administrative administrator administration administrational antiadministration misadministration preadministration proadministration self-administration subadministration superadministration administrative administratively 				
increase increasable increasedly nonincreasable nonincrease preincrease preincrease preincreased preincreasing proincrease quasi-increased reincrease reincreased reincreasing superincrease superincreased superincreasing superincrease unincreasable unincreased increasable increasingly increaser 				
increase increasable increasedly nonincreasable nonincrease preincrease preincrease preincreased preincreasing proincrease quasi-increased reincrease reincreased reincreasing superincrease superincreased superincreasing superincrease unincreasable unincreased increasable increasingly increaser 				
involved involvedly involvedness noninvolved uninvolved involvement involver interinvolve interinvolved interinvolving noninvolvement overinvolve overinvolved overinvolving preinvolve preinvolved preinvolving preinvolvement reinvolve reinvolved reinvolving reinvolvement involvement involver 				
commercial commercially anticommercial anticommercially anticommercialness countercommercial noncommercial noncommercially precommercial procommercial quasi-commercial quasi-commercially semicommercial semicommercially supercommercial supercommercially ultracommercial commercially 				
critical critically criticality criticalness anticritical anticritically anticriticalness half-critical half-critically half-criticalness noncritical noncritically noncriticalness postcritical pseudocritical pseudocritically quasi-critical quasi-critically critically criticalness 				
demonstration demonstrate demonstratedly counterdemonstrate counterdemonstrated counterdemonstrating predemonstrate predemonstrated predemonstrating redemonstrate redemonstrated redemonstrating subdemonstrate subdemonstrated subdemonstrating undemonstrated well-demonstrated 				
effective effectively effectiveness effectivity preeffective preeffectively quasi-effective quasi-effectively subeffective subeffectively subeffectiveness supereffective supereffectively supereffectiveness uneffective uneffectively uneffectiveness effectively effectiveness 				
plano- plan planless planlessly planlessness misplan misplanned misplanning outplan outplanned outplanning overplan overplanned overplanning preplan preplanned preplanning replan replanned replanning underplan underplan underplanned underplanning unplan unplanned unplanning				
plano- plan planless planlessly planlessness misplan misplanned misplanning outplan outplanned outplanning overplan overplanned overplanning preplan preplanned preplanning replan replanned replanning underplan underplan underplanned underplanning unplan unplanned unplanning				
reforming re-form re-formation re-former reformable reformability reformableness reformative reformatively reformativeness reformingly antireform misreform prereform proreform self-reform superreform unreformable unreformative reformable reformative reformer re-formation 				
success success successful successfully successfulness half-successful half-successfully half-successfulness nonsuccessful nonsuccessfully presuccessful presuccessfully quasi-successful quasi-successfully semisuccessful semisuccessfully successfully successfulness 				
organizing organized organic organism organization organizational organizationally antiorganization misorganization nonorganization preorganization suborganization superorganization underorganization organizational organisational organizationally organisationally 				
politics political politically antipolitical antipolitically nonpolitical nonpolitically overpolitical overpolitically prepolitical prepolitically pseudopolitical quasi-political quasi-politically subpolitical subpolitically unpolitical unpolitically politically 				
debate debater debatingly interdebate interdebated interdebating nondebater nondebating outdebate outdebated outdebating overdebate overdebated overdebating postdebate predebate predebater redebate redebated redebating undebated undebating well-debated debater 				
level levelly levelness antileveling antilevelling interlevel nonlevel relevel releveled releveling relevelled relevelling self-leveling self-levelling underlevel unlevel unlevelly unlevelness unleveled unlevelled well-leveled well-levelled levelly levelness 				
trade paper trade wind trade tradable tradeable tradeless intertrade intertraded intertrading nontrade nontrading protrade retrade retraded retrading undertrade undertraded undertrading untradable untradeable untraded untrading tradable tradeable tradeless 				
nation nation nationalist nation nation nation national nationally antinational antinationally nonnational nonnationally prenational pronational pseudonational pseudonationally quasi-national quasi-nationally subnational unnational unnationally nationally 				
encourage encourager encouragingly overencourage overencouraged overencouraging preencourage preencouraged preencouraging reencourage reencouraged reencouraging unencouraged unencouraging well-encouraged encouragement encourager encouraging encouragingly 				
observer observe observedly observingly nonobserving nonobservingly preobserve preobserved preobserving quasi-observed reobserve reobserved reobserving self-observed unobserved unobserving well-observed observable observableness observability observably 				
reveal revealable revealability revealableness revealedly revealer revealingly revealingness revelative half-revealed nonrevealing prereveal self-revealed unrevealable unrevealed unrevealing unrevealingly revealable revealability revealer revealment 				
oil strike strikeless antistrike nonstrike outstrike outstruck outstruck outstricken outstriking poststrike prestrike prestruck prestruck prestricken prestriking prostrike understrike understruck understruck understricken understriking strikeless 				
political science government governmental governmentally countergovernment nongovernment nongovernmental pro-government regovernment semigovernmental semigovernmentally subgovernment undergovernment ungovernmental ungovernmentally governmentally 				
involve involvement involver interinvolve interinvolved interinvolving noninvolvement overinvolve overinvolved overinvolving preinvolve preinvolved preinvolving preinvolvement reinvolve reinvolved reinvolving reinvolvement involvement involver 				
physics physical examination physical physically physicalness antiphysical antiphysically antiphysicalness nonphysical nonphysically quasi-physical quasi-physically transphysical transphysically unphysical unphysically physically physicalness 				
statistically independent independent independently nonindependent nonindependently preindependent preindependently pseudoindependent pseudoindependently quasi-independent quasi-independently superindependent superindependently independently 				
daydream daydreams dream dreamful dreamfully dreamfulness dreamingly dreamlike redream redreamed redreamt redreaming undreamed undreaming undreamlike dreamful dreamfully dreaming dreamingly dreamless dreamlessly dreamlessness dreamlike 				
improvements improve improvable improvability improvableness improvably improvingly preimprove preimproved preimproving quasi-improved superimproved well-improved improvable improvability improvableness improvably improver improvingly 				
interest interest interest interested interestedly interestedness overinterested overinterestedly overinterestedness quasi-interested quasi-interestedly well-interested overinterest preinterest reinterest interestedly interestedness 				
full professor associate professor assistant professor professes professor professorial professorialism professorially nonprofessorial nonprofessorially pseudoprofessorial subprofessor unprofessorial unprofessorially professorially 				
negative Rh factor positive positiveness overpositive overpositively overpositiveness quasi-positive quasi-positively superpositive superpositively superpositiveness unpositive unpositively unpositiveness positiveness positivity 				
built building buildingless underbuilding buildable misbuild misbuilt misbuilding outbuild outbuilt outbuilding prebuild prebuilt prebuilding superbuild superbuilt superbuilding unbuildable underbuild underbuilt underbuilding				
practice practicer mispractice mispracticed mispracticing nonpractice outpractice outpracticed outpracticing overpractice overpracticed overpracticing prepractice prepracticed prepracticing repractice repracticed repracticing				
prevent preventable preventible preventabilty preventingly nonpreventable nonpreventible quasi-prevented unpreventable unprevented unpreventible preventable preventible preventability preventibility preventably preventibly 				
trained trained training training half-training nontraining pretraining self-training trainless minitrain mistrain nontrained overtrain pretrain semitrained supertrain undertrain undertrained untrained trainable trainless 				
office office office official officially nonofficial nonofficially preofficial preofficially pseudoofficial pseudoofficially quasi-official quasi-officially subofficial subofficially underofficial unofficial unofficially 				
precious stone testes stoneware stony stone stonable stoneable stoneless stonelessness stonelike unstonable unstoneable Edward Durell Harlan Fiske I(sidor) F(einstein) stonable stoneable stoneless stonelessness stonelike 				
benefaction benefit benefiter benefitter prebenefit prebenefited prebenefitted prebenefiting prebenefitting self-benefit self-benefiting self-benefitting superbenefit unbenefited unbenefitted unbenefiting unbenefitting 				
socialism social socially socialness hypersocial hypersocially intersocial nonsocial nonsocially nonsocialness oversocial oversocially presocial pseudosocial pseudosocially unsocial unsocially socially socialness 				
examine examinable examinatorial examiner examiningly preexamine preexamined preexamining preexaminer subexaminer superexaminer unexaminable unexamined unexamining well-examined examinable examiner examining 				
new modern modernly modernness antimodern antimodernly antimodernness hypermodern nonmodern nonmodernly nonmodernness premodern promodern pseudomodern quasi-modern supermodern unmodern modernly modernness 				
explanation explain explainable explainer explanator misexplained nonexplainable overexplain preexplain reexplain unexplainable unexplainably unexplained unexplaining well-explained explainable explainer 				
subject subjectable subjectability subjectedly subjectedness subjectless subjectlike nonsubject nonsubjected presubject resubject unsubject unsubjected subjectable subjectability subjectless subject-like 				
driving iron excitation drive drivable driveable nondrivable nondriveable predrive predrove predriven predriving redrive redrove redriven redriving undrivable drivable driveable drivability driveability 				
national international internationality internationally noninternational noninternationally pseudointernational quasi-international quasi-internationally uninternational internationality internationally 				
closed complimentary close cadence close closable closeable closely closeness nonclose nonclosely overclose overclosely overcloseness preclose preclosed preclosing unclosable closely closeness closer 				
closed complimentary close cadence close closable closeable closely closeness nonclose nonclosely overclose overclosely overcloseness preclose preclosed preclosing unclosable closely closeness closer 				
closed complimentary close cadence close closable closeable closely closeness nonclose nonclosely overclose overclosely overcloseness preclose preclosed preclosing unclosable closely closeness closer 				
introduce introducer introducible quasi-introduced reintroduce reintroduced reintroducing subintroduce subintroduced subintroducing unintroduced unintroducible well-introduced introducer introducible 				
responsible responsible responsible responsible responsibility nonresponsibility nonresponsibilities preresponsibility preresponsibilities self-responsibility superresponsibility superresponsibilities				
walk travel travelable nontraveling nontravelling outtravel outtraveled outtraveling outtravelled outtravelling pretravel pretraveled pretraveling pretravelled pretravelling untraveling untravelling 				
admit admittable admittible admitter half-admitted half-admittedly nonadmitted nonadmittedly preadmit preadmitted preadmitting readmit readmitted readmitting unadmitted unadmittedly well-admitted 				
wingspan lay point spread spread antispreading prespread prespread prespreading respread respread respreading underspread underspread underspreading unspread unspreading spreadability spreadable 				
culture cultural culturally anticultural anticulturally de-cultural noncultural nonculturally precultural preculturally pseudocultural pseudoculturally transcultural transculturally culturally 				
ground bass grind ground groundable groundably groundedly groundedness groundward groundwards ungroundable grindable grindability grindingly regrind reground regrinding ungrindable grindingly 				
maintain maintainable maintainability maintainer premaintain self-maintained self-maintaining undermaintain undermaintained unmaintainable unmaintained well-maintained maintainable maintainer 				
discuss discusser discussable discussible nondiscussible overdiscuss prediscuss rediscuss undiscussable undiscussed undiscussible well-discussed discussant discusser discussible discussable 				
build buildable misbuild misbuilt misbuilding outbuild outbuilt outbuilding prebuild prebuilt prebuilding superbuild superbuilt superbuilding unbuildable underbuild underbuilt underbuilding				
arithmetic mean arithmetic mean average averageable averagely averageness subaverage subaveragely superaverage superaverageness unaveraged underaverage well-averaged averagely averageness 				
humane human being human humanlike humanness half-human interhuman overhuman pseudohuman quasi-human quasi-humanly transhuman ultrahuman unhuman unhumanly unhumanness human-like humanness 				
doctor s degree Doctor of the Church silver doctor doctorate doctor doctoral doctorial doctorally doctorially doctorless doctorship subdoctor superdoctor underdoctor undoctored doctoral 				
player ball hardball card politics possum second fiddle field game deck fire play playingly playless playlike counterplay nonplaying self-playing unplayed unplaying playability playable 				
player ball hardball card politics possum second fiddle field game deck fire play playingly playless playlike counterplay nonplaying self-playing unplayed unplaying playability playable 				
factor of production antihemophilic factor Christmas factor factor factorable factorability factorship subfactor underfactor unfactorable unfactored factorable factorability factorship 				
power power powerful powerfully powerfulness overpowerful overpowerfully overpowerfulness quasi-powerful quasi-powerfully superpowerful ultrapowerful unpowerful powerfully powerfulness 				
smile smileless smilelessly smilelessness smiler smilingly half-smiling half-smilingly outsmile outsmiled outsmiling subsmile unsmiling unsmilingly smiler smiling smilingly smilingness 				
milk shake trill shaker hand dust shake shakable shakeable reshake reshook reshaken reshaking unshakable unshakablely unshakeable unshakeablely unshaken well-shaken shakable shakeable 				
reference mark reference refer referable referrable referrible referrer misrefer misreferred misreferring prerefer prereferred prereferring unreferred well-referred referral referrer 				
sign of the zodiac sign language signature signature sign of the cross signal sign language signature signal sign language signature sign signless signlike postsign unsigned signable 				
sign of the zodiac sign language signature signature sign of the cross signal sign language signature signal sign language signature sign signless signlike postsign unsigned signable 				
association associate associateship nonassociated reassociate reassociated reassociating superassociate unassociated well-associated associable associator associatory associateship 				
shape shapable shapeable outshape outshaped outshaping preshape preshaped preshaping transshape transshaped transshaping unshapable unshapeable unshaping shapable shapeable shaper 				
environmental art environment environmental environmentally interenvironmental nonenvironmental nonenvironmentally preenvironmental proenvironmental environmental environmentally 				
environmental art environment environmental environmentally interenvironmental nonenvironmental nonenvironmentally preenvironmental proenvironmental environmental environmentally 				
comparison note compare comparer intercompare intercompared intercomparing precompare precompared precomparing recompare recompared recomparing uncompared well-compared comparer 				
military militarily militariness antimilitary nonmilitary premilitary promilitary pseudomilitarily pseudomilitary quasi-military supermilitary unmilitarily unmilitary militarily 				
personal personalness hyperpersonal hyperpersonally multipersonal nonpersonal nonpersonally quasi-personal quasi-personally superpersonal superpersonally unpersonal unpersonally 				
hand handle handleable handleability handleless overhandle overhandled overhandling prehandle prehandled prehandling rehandle rehandled rehandling handleable handled handleless 				
speed speedful speedfully speedfulness speedingly speedingness speedless multispeed outspeed outsped outspeeded outspeeding overspeed oversped overspeeded overspeeding speeder 				
understanding understandingly nonunderstanding nonunderstandingly self-understanding preunderstand preunderstood preunderstanding understandingly understandable understandably 				
church state statable stateable antistate counterstate counterstated counterstating outstate outstated outstating substate unstatable unstateable statable stateable statehood 				
church state statable stateable antistate counterstate counterstated counterstating outstate outstated outstating substate unstatable unstateable statable stateable statehood 				
expressly express expresser expressor expressible expressless overexpress preexpress quasi-expressed reexpress superexpress unexpressible well-expressed expresser expressible 				
wilderness wild wildly wildness half-wildly half-wildness overwild overwildly overwildness semiwild semiwildly semiwildness unwild unwildly unwildness wildish wildly wildness 				
perfection perfect perfectedly perfecter perfectness nonperfected quasi-perfect quasi-perfectly self-perfecting superperfect superperfectly unperfect unperfected perfectness 				
atmospheric pressure electromotive force pressed compressed pressurize pressure pressureless interpressure nonpressure superpressure underpressure unpressured pressureless 				
suffer sufferable sufferableness sufferably sufferer nonsufferable nonsufferableness nonsufferably outsuffer presuffer unsufferable unsufferableness unsufferably sufferer 				
break dance break dancing step break breakable breakableness breakably breakless nonbreakable rebreak rebroke rebroken rebreaking unbreakable unbreakableness unbreakably 				
break dance break dancing step break breakable breakableness breakably breakless nonbreakable rebreak rebroke rebroken rebreaking unbreakable unbreakableness unbreakably 				
expect expectable expectably expectedly expectedness expecter expectingly overexpect preexpect unexpectable unexpectably unexpecting unexpectingly expectable expectably 				
medicine medical medically antimedical antimedically nonmedical nonmedically pseudomedical pseudomedically quasi-medical quasi-medically unmedical unmedically medically 				
testa Testament testator testimony test testable testability testingly nontestable nontesting self-testing untestable untested well-tested testable testability testing 				
testa Testament testator testimony test testable testability testingly nontestable nontesting self-testing untestable untested well-tested testable testability testing 				
conductor conduct conductible conductibility nonconductibility nonconductible preconduct reconduct unconducted unconductible well-conducted conductible conductibility 				
force play force forceable forceless forcer forcingly interforce overforce overforce overforced overforcing unforceable unforcing forceable forceless forcer forcingly 				
force play force forceable forceless forcer forcingly interforce overforce overforce overforced overforcing unforceable unforcing forceable forceless forcer forcingly 				
forward before before forest forestal forestial forested forestless forestlike nonforest nonforested unforested well-forested forestal forested forestless forest-like 				
image images imagination imagine imaginer preimagine preimagined preimagining reimagine reimagined reimagining unimagined well-imagined imaginable imaginably imaginer 				
performance perform performable performer misperform overperform reperform self-performed unperformable unperformed unperforming well-performed performable performer 				
support level support supportingly nonsupporting presupport prosupport quasi-supported undersupport unsupported unsupportedly unsupporting well-supported supportless 				
support level support supportingly nonsupporting presupport prosupport quasi-supported undersupport unsupported unsupportedly unsupporting well-supported supportless 				
revue review reviewable reviewability reviewless nonreviewability nonreviewable prereview rereview unreviewable unreviewed well-reviewed revuist reviewable reviewer 				
classroom form class classis classify classic classical classification classified class classable classer misclass reclass unclassable unclassed classable classer 				
stylus stylus style style styleless stylelessness stylelike antistyle counterstyle misstyle misstyled misstyling restyle restyled restyling unstyled stylar styler 				
trouble troubledly troubledness troubler troublingly nontroubling overtrouble overtroubled overtroubling self-troubled self-troubling untroubled troubled troubler 				
challenge challengeable prechallenge prechallenged prechallenging rechallenge rechallenged rechallenging unchallengeable unchallengeably challengeable challenger 				
determine interdetermine interdetermined interdetermining quasi-determine quasi-determined quasi-determining redetermine redetermined redetermining undetermining 				
figure of speech cut figure figurable figureless figurer outfigure outfigured outfiguring refigure refigured refiguring subfigure unfigurable figureless figurer 				
figure of speech cut figure figurable figureless figurer outfigure outfigured outfiguring refigure refigured refiguring subfigure unfigurable figureless figurer 				
preparation preparations address addresser addressor half-addressed preaddress readdress readdressed readdressing unaddressed well-addressed addresser addressor 				
ultraconservative white unwhite Edward H(iggins) II E(lwyn) B(rooks) Patrick (Victor Martindale) T(erence) H(anbury) William A(lanson) whitely whiteness whitish 				
civilized civil law civil civilness anticivil half-civil half-civilly overcivil overcivilly quasi-civil quasi-civilly supercivil supercivilly civilly civilness 				
implant plant plantable plantless plantlike misplant overplant preplant self-planted subplant underplant unplantable unplanted well-planted plantable plantlike 				
investing investing invested invested invested investing invested investing investment nonreinvestment overinvestment preinvestment proinvestment reinvestment 				
experience experienceable experienceless postexperience preexperience preexperienced preexperiencing reexperience reexperienced reexperiencing experienceable 				
experience experienceable experienceless postexperience preexperience preexperienced preexperiencing reexperience reexperienced reexperiencing experienceable 				
profession profession professions professions professions professional professionally interprofessional interprofessionally pseudoprofessional professionally 				
study studiable studier nonstudy nonstudies outstudy outstudied outstudying prestudy prestudied prestudying prestudies restudy restudies restudied restudying				
study studiable studier nonstudy nonstudies outstudy outstudied outstudying prestudy prestudied prestudying prestudies restudy restudies restudied restudying				
protection protect protectible protectable protectibility protectability overprotect quasi-protected semiprotected unprotectable unprotected well-protected 				
place replace replaceable replaceability replacer nonreplaceable quasi-replaced unreplaceable unreplaced well-replaced replaceable replaceability replacer 				
contract contractee contractible contractibility contractibleness contractibly noncontract overcontract postcontract recontract contractible contractibly 				
teacher teach overteach overtaught overteaching preteach pretaught preteaching reteach retaught reteaching underteach undertaught underteaching teachable 				
application apply appliable appliableness appliably applier preapply preapplied preapplying reapply reapplied reapplying unappliable unappliably applier 				
university universitarian antiuniversity counteruniversity counteruniversities interuniversity nonuniversity nonuniversities preuniversity prouniversity 				
bill of exchange playbill William Eliot George Fort Monroe Terrence Theodore Theresa bill biller Herbert McLean Robley Dunglison Rudulph William Felton 				
black beauty blacken blacking in the red Temple Shirley black blackish blackishly blackishness nonblack unblacked blackish blackishly blackly blackness 				
singing singing sung singing sung Soong Ai-ling Soong Ching-ling Soong Mei-ling Soong Tse-ven Sung song songlike Ailing Qingling Meiling Ziwen songlike 				
spot announcement spot price spotlight spotlight spotted spotter spot spotlike spottable nonspottable respot respotted respotting unspottable spottable 				
relation relation relate relatability relatable relater misrelate misrelated misrelating prerelate prerelated prerelating unrelating relatable relater 				
agent patient patientless patiently patientness overpatient quasi-patient quasi-patiently superpatient superpatiently unpatient unpatiently patiently 				
timbre tone color flying colors color colorer overcolor precolor recolor transcolor undercolor colorable colorer colorful coloring colorist colorless 				
achieve achievable achiever outachieve outachieved outachieving preachieved superachiever unachievable unachieved well-achieved achievable achiever 				
clothes tree crosstree tree diagram family tree shoetree boot tree Christmas tree tree treelike Sir Herbert Beerbohm treeless treelessness treelike 				
conflict confliction conflictive conflictory nonconflictive preconflict preconflict self-conflict unconflictive confliction conflictive conflictory 				
demote promote promotable promotability prepromote prepromoted prepromoting self-promoting unpromotable unpromoted promotable promotion promotional 				
illustrious clearance plaintext clear clearable clearness half-clearly preclear unclear unclearly unclearable uncleared clearable clearer clearness 				
learn learnable mislearn mislearned mislearnt mislearning outlearn outlearned outlearnt outlearning relearn relearned relearnt relearning learnable 				
reporter report reportable nonreportable nonreported overreport prereport quasi-reported subreport unreportable unreported well-reported reportable 				
reporter report reportable nonreportable nonreported overreport prereport quasi-reported subreport unreportable unreported well-reported reportable 				
simpleminded compound linear simple simpleness oversimple oversimpleness oversimply subsimple ultrasimple unsimple unsimpleness unsimply simpleness 				
include includable includible preinclude preincluded preincluding reinclude reincluded reincluding unincludable unincludible includable includible 				
include includable includible preinclude preincluded preincluding reinclude reincluded reincluding unincludable unincludible includable includible 				
interest interesting interestingly interestingness uninteresting uninterestingly overinterest preinterest reinterest interestingly interestingness 				
personality third person first person people peopleless peopler outpeople outpeopled outpeopling underpeopled well-peopled multiperson superperson 				
screen grid screen screenable screener screenless screenlike rescreen superscreen unscreenable unscreened screenable screener screenful screenlike 				
dead hot water tread water waterer waterless waterlessly waterlessness waterlike outwater overwater rewater waterer waterish waterless water-like 				
manage overmanage overmanaged overmanaging quasi-managed self-managing undermanage undermanaged undermanaging undermanaged unmanaged well-managed 				
attempt attemptability attemptable attempter quasi-attempt reattempt unattemptable unattempted unattempting well-attempted attemptable attempter 				
issue issueless issuer outissue outissued outissuing preissue preissued preissuing self-issued self-issuing underissue unissued issueless issuer 				
industry interindustry mini-industry mini-industries nonindustry preindustry proindustry subindustry subindustries superindustry superindustries				
motion picture movies depict picture picturable picturableness picturably picturer mispicture mispictured mispicturing self-pictured unpictured 				
soft-core soft softly softness oversoft oversoftly oversoftness supersoft ultrasoft ultrasoftly ultrasoftness unsoft unsoftly unsoftness softly 				
develop developable developability half-developed hyperdeveloped misdevelop nondevelopable predevelop undevelopable well-developed developable 				
exchange changefulness hand change changedness unchanged unchanging unchangingly unchangingness changeless changelessly changelessness changer 				
exchange changefulness hand change changedness unchanged unchanging unchangingly unchangingness changeless changelessly changelessness changer 				
present representations re-present representable representability nonrepresentable prerepresent unrepresentable representable representability 				
supposed supposedly nonsupposed unsupposed supposable supposably supposer missuppose missupposed missupposing unsupposable supposable supposer 				
odd or even choice choose choosable chooser prechoose prechose prechosen prechoosing rechoose rechose rechosen rechoosing unchoosable chooser 				
United States of America South America South America United States of America South America American English American Americanly Americanness 				
United States of America South America South America United States of America South America American English American Americanly Americanness 				
food food crow hog humble pie heart term word hand eat eater outeat outate outeaten outeating undereat underate undereaten undereating eater 				
song song song song singular sing singable singability singableness singingly missing missang missung missinging unsingable singable singing 				
reflect reflectedly reflectedness reflectibility reflectible reflectingly interreflect misreflect nonreflected nonreflecting well-reflected 				
blood group typewriter typecast typify type mistype mistyped mistyping mistyped pretype pretyped pretyping retype retyped retyping untyped 				
difficult difficultly nondifficult quasi-difficult quasi-difficultly superdifficult superdifficultly undifficult undifficultly difficultly 				
play safe safely safeness quasi-safe quasi-safely supersafe supersafely supersafeness ultrasafe unsafe unsafely unsafeness safely safeness 				
ruler behavior ruler ruling roost rule interrule interruled interruling subrule underrule underrule underruled underruling unruled rulable 				
Cain raise raisable raiseable raiser nonraisable nonraiseable reraise reraised reraising unraisable unraiseable raisable raiseable raiser 				
free enterprise checked free freeness overfree overfreely quasi-free quasi-freely unfree unfreed unfreeing unfreely freer freely freeness 				
marketplace stock market market marketer multimarket nonmarket premarket remarket submarket undermarket unmarketed well-marketed marketer 				
outer space deep space outer space deep space outer space deep space space spacer misspace misspaced misspacing respace respaced respacing				
shy tilt fight fightable fightability fightingly outfight outfought outfighting prefight refight refought refighting unfightable fighting 				
sports sports oak sport sportful sportfully sportfulness sportless outsport unsported unsportful sporter sportful sportfully sportfulness 				
barre bride mosquito net microbar Browning automatic rifle Baruch barometer barometric barrel barrister bar barless barrable unbarrable 				
Europe Europe Europe European Europeanly anti-European inter-European non-European pro-European pseudo-European un-European Europeanism 				
